word,translation,phrase,phrase_translation,part_of_speech,gender,tags
in bocca al lupo,good luck,In bocca al lupo per l'esame!,Good luck on the exam!,idiom,n/a,common
crepi il lupo,thanks (response to good luck),Crepi il lupo! Grazie!,Thanks! (response),idiom,n/a,common
non vedere l'ora,can't wait,Non vedo l'ora di vederti!,I can't wait to see you!,idiom,n/a,common
fare bella figura,to make a good impression,Voglio fare bella figura al colloquio.,I want to make a good impression at the interview.,idiom,n/a,common
fare brutta figura,to make a bad impression,Non voglio fare brutta figura.,I don't want to make a bad impression.,idiom,n/a,common
acqua in bocca,keep it secret,Acqua in bocca! È un segreto.,Keep it secret! It's a secret.,idiom,n/a,common
costare un occhio della testa,to cost an arm and a leg,Costa un occhio della testa!,It costs an arm and a leg!,idiom,n/a,body
avere le mani in pasta,to have a finger in every pie,Ha le mani in pasta ovunque.,He has a finger in every pie.,idiom,n/a,body
non avere peli sulla lingua,to speak one's mind,Non ha peli sulla lingua.,She speaks her mind.,idiom,n/a,body
essere in gamba,to be smart/capable,È proprio in gamba!,He's really smart!,idiom,n/a,body
avere la testa fra le nuvole,to have one's head in the clouds,Ha la testa fra le nuvole.,She has her head in the clouds.,idiom,n/a,body
dare una mano,to give a hand/help,Mi dai una mano?,Can you give me a hand?,idiom,n/a,body
essere al verde,to be broke,Sono al verde questo mese.,I'm broke this month.,idiom,n/a,money
essere alla frutta,to be at the end (exhausted),Dopo la corsa sono alla frutta.,After the run I'm exhausted.,idiom,n/a,food
rendere pan per focaccia,to give tit for tat,Gli ho reso pan per focaccia.,I gave him tit for tat.,idiom,n/a,food
avere le mani di pasta frolla,to be clumsy,Ha le mani di pasta frolla!,He's so clumsy!,idiom,n/a,food
prendere due piccioni con una fava,to kill two birds with one stone,Due piccioni con una fava!,Two birds with one stone!,idiom,n/a,animals
essere un pesce fuor d'acqua,to be a fish out of water,Mi sento un pesce fuor d'acqua.,I feel like a fish out of water.,idiom,n/a,animals
In quattro e quattr'otto,in no time,L'ha fatto in quattro e quattr'otto.,He did it in no time.,idiom,n/a,common
mettere il carro davanti ai buoi,to put the cart before the horse,Il carro davanti ai buoi!,The cart before the horse!,idiom,n/a,common
chi la dura la vince,persistence pays off,Chi la dura la vince!,Persistence pays off!,proverb,n/a,proverbs
non è tutto oro quel che luccica,all that glitters is not gold,Non è tutto oro che luccica.,All that glitters is not gold.,proverb,n/a,proverbs
chi trova un amico trova un tesoro,a friend is a treasure,Un vero amico è un tesoro.,A true friend is a treasure.,proverb,n/a,proverbs
l'abito non fa il monaco,don't judge a book by its cover,L'abito non fa il monaco.,Don't judge a book by its cover.,proverb,n/a,proverbs
chi va piano va sano e va lontano,slow and steady wins the race,Chi va piano va lontano.,Slow and steady goes far.,proverb,n/a,proverbs
meglio tardi che mai,better late than never,Meglio tardi che mai!,Better late than never!,proverb,n/a,proverbs
tra il dire e il fare c'è di mezzo il mare,easier said than done,Tra il dire e il fare...,Easier said than done...,proverb,n/a,proverbs
chi dorme non piglia pesci,the early bird catches the worm,Chi dorme non piglia pesci!,The early bird catches the worm!,proverb,n/a,proverbs
una rondine non fa primavera,one swallow doesn't make a summer,Una rondine non fa primavera.,One swallow doesn't make a summer.,proverb,n/a,proverbs
ogni lasciata è persa,a missed chance is a lost chance,Ogni lasciata è persa! Prova!,A missed chance is lost! Try!,proverb,n/a,proverbs
prendere in giro,to make fun of,Non mi prendere in giro!,Don't make fun of me!,idiom,n/a,common
andare a gonfie vele,to go swimmingly,Gli affari vanno a gonfie vele.,Business is going swimmingly.,idiom,n/a,common
avere il dente avvelenato,to have a grudge,Ha il dente avvelenato con me.,He has a grudge against me.,idiom,n/a,common
fare il filo a qualcuno,to flirt with someone,Le sta facendo il filo.,He's flirting with her.,idiom,n/a,common
stare con le mani in mano,to sit idle,Stare con le mani in mano.,To sit idle.,idiom,n/a,body
avere la coda di paglia,to have a guilty conscience,Ha la coda di paglia.,He has a guilty conscience.,idiom,n/a,animals
tirare la cinghia,to tighten one's belt,Dobbiamo tirare la cinghia.,We need to tighten our belts.,idiom,n/a,money
essere nelle nuvole,to be daydreaming,Oggi sei nelle nuvole!,You're daydreaming today!,idiom,n/a,common
perdere la testa,to lose one's head,Ha perso la testa per lei.,He lost his head over her.,idiom,n/a,body
mettere le carte in tavola,to lay one's cards on the table,Mettiamo le carte in tavola.,Let's lay our cards on the table.,idiom,n/a,common
prendere il toro per le corna,to take the bull by the horns,Prendi il toro per le corna!,Take the bull by the horns!,idiom,n/a,animals
vuotare il sacco,to spill the beans,Alla fine ha vuotato il sacco.,In the end he spilled the beans.,idiom,n/a,common
toccare ferro,to knock on wood,Tocca ferro! Non portare sfortuna!,Knock on wood! Don't jinx it!,idiom,n/a,common
