word,translation,phrase,phrase_translation,part_of_speech,gender,tags
le Risorse Umane,Human Resources,Lavoro nelle Risorse Umane.,I work in Human Resources.,noun,f,departments
il Marketing,Marketing,Il reparto Marketing è al secondo piano.,The Marketing department is on the second floor.,noun,m,departments
le Vendite,Sales,Lavoro nel reparto Vendite.,I work in the Sales department.,noun,f,departments
la Contabilità,Accounting,La Contabilità gestisce le fatture.,Accounting handles the invoices.,noun,f,departments
l'Amministrazione,Administration,L'Amministrazione è chiusa oggi.,Administration is closed today.,noun,f,departments
l'Ufficio Legale,Legal Department,L'Ufficio Legale ha approvato il contratto.,The Legal Department approved the contract.,noun,m,departments
l'Amministratore Delegato,CEO,L'Amministratore Delegato ha parlato.,The CEO spoke.,noun,m,hierarchy
il Direttore Generale,General Manager,Il Direttore Generale è in riunione.,The General Manager is in a meeting.,noun,m,hierarchy
il Vicedirettore,Deputy Director,Il Vicedirettore firma i documenti.,The Deputy Director signs the documents.,noun,m,hierarchy
il quadro,middle manager,È un quadro dell'azienda.,He's a middle manager of the company.,noun,m,hierarchy
l'azionista,the shareholder,Gli azionisti si riuniscono domani.,The shareholders meet tomorrow.,noun,m,business
il consiglio di amministrazione,board of directors,Il consiglio di amministrazione ha deciso.,The board of directors has decided.,noun,m,business
la sede legale,registered office,La sede legale è a Roma.,The registered office is in Rome.,noun,f,business
la multinazionale,multinational,Lavoro per una multinazionale.,I work for a multinational.,noun,f,business
la PMI,SME (small-medium enterprise),L'Italia ha molte PMI.,Italy has many SMEs.,noun,f,business
il fatturato,revenue/turnover,Il fatturato è aumentato del dieci percento.,Revenue increased by ten percent.,noun,m,finance
il bilancio,balance sheet/budget,Il bilancio è positivo quest'anno.,The balance sheet is positive this year.,noun,m,finance
l'utile,profit,L'azienda ha realizzato un utile.,The company made a profit.,noun,m,finance
la perdita,loss,Abbiamo registrato una perdita.,We recorded a loss.,noun,f,finance
il budget,budget,Il budget è stato approvato.,The budget has been approved.,noun,m,finance
gli investimenti,investments,Gli investimenti sono in crescita.,Investments are growing.,noun,m,finance
la fusione,merger,La fusione delle due aziende.,The merger of the two companies.,noun,f,business
l'acquisizione,acquisition,L'acquisizione è stata completata.,The acquisition was completed.,noun,f,business
l'ordine del giorno,agenda,L'ordine del giorno della riunione.,The meeting agenda.,noun,m,meetings
il verbale,minutes (of meeting),Chi scrive il verbale?,Who writes the minutes?,noun,m,meetings
convocare,to convene/call,Convoco una riunione per lunedì.,I'm calling a meeting for Monday.,verb,n/a,verbs
proporre,to propose,Propongo di cambiare strategia.,I propose to change strategy.,verb,n/a,verbs
approvare,to approve,Il progetto è stato approvato.,The project was approved.,verb,n/a,verbs
respingere,to reject,La proposta è stata respinta.,The proposal was rejected.,verb,n/a,verbs
negoziare,to negotiate,Dobbiamo negoziare le condizioni.,We need to negotiate the terms.,verb,n/a,verbs
trattare,to negotiate/deal,Trattiamo direttamente con il cliente.,We deal directly with the client.,verb,n/a,verbs
accordarsi,to reach an agreement,Ci siamo accordati sul prezzo.,We reached an agreement on the price.,verb,n/a,verbs
il compromesso,the compromise,Abbiamo trovato un compromesso.,We found a compromise.,noun,m,negotiations
la trattativa,the negotiation,La trattativa è in corso.,The negotiation is underway.,noun,f,negotiations
le condizioni,terms/conditions,Accettiamo le condizioni del contratto.,We accept the contract terms.,noun,f,negotiations
la clausola,the clause,La clausola è vincolante.,The clause is binding.,noun,f,contracts
la scadenza,the deadline,Rispetta la scadenza del progetto.,Respect the project deadline.,noun,f,business
il preventivo,the quote/estimate,Invio un preventivo entro domani.,I'll send a quote by tomorrow.,noun,m,business
la fattura,the invoice,La fattura è in allegato.,The invoice is attached.,noun,f,business
il pagamento,the payment,Il pagamento è in ritardo.,The payment is late.,noun,m,business
la strategia,the strategy,La strategia aziendale è chiara.,The company strategy is clear.,noun,f,business
l'obiettivo aziendale,business goal,Abbiamo raggiunto l'obiettivo aziendale.,We reached the business goal.,noun,m,business
la crescita,growth,L'azienda punta alla crescita.,The company aims for growth.,noun,f,business
la concorrenza,competition,La concorrenza è agguerrita.,The competition is fierce.,noun,f,business
il mercato,the market,Il mercato è in espansione.,The market is expanding.,noun,m,business
