word,translation,phrase,phrase_translation,part_of_speech,gender,tags
ritengo che,I consider that,Ritengo che sia importante.,I consider it important.,phrase,n/a,opinions
suppongo che,I suppose that,Suppongo che abbia ragione.,I suppose he's right.,phrase,n/a,opinions
sono convinto che,I'm convinced that,Sono convinto che sia vero.,I'm convinced it's true.,phrase,n/a,opinions
concordare,to agree/concur,Concordo con la tua opinione.,I agree with your opinion.,verb,n/a,verbs
condividere,to share (an opinion),Non condivido questa idea.,I don't share this idea.,verb,n/a,verbs
dissentire,to disagree,Dissento completamente.,I completely disagree.,verb,n/a,verbs
dubitare,to doubt,Dubito che sia vero.,I doubt it's true.,verb,n/a,verbs
il dubbio,the doubt,Ho qualche dubbio.,I have some doubts.,noun,m,nouns
la certezza,the certainty,Ho la certezza che verrà.,I'm certain he will come.,noun,f,nouns
ansioso,anxious,Sono ansioso per l'esame.,I'm anxious about the exam.,adjective,n/a,emotions
entusiasta,enthusiastic,Sono entusiasta del progetto.,I'm enthusiastic about the project.,adjective,n/a,emotions
soddisfatto,satisfied,Sono soddisfatto del lavoro.,I'm satisfied with the work.,adjective,n/a,emotions
frustrato,frustrated,Mi sento frustrato.,I feel frustrated.,adjective,n/a,emotions
sollevato,relieved,Sono sollevato che sia finita.,I'm relieved it's over.,adjective,n/a,emotions
stupito,amazed/astonished,Sono stupito dalla notizia.,I'm astonished by the news.,adjective,n/a,emotions
commosso,moved/touched,Sono commosso dal tuo gesto.,I'm touched by your gesture.,adjective,n/a,emotions
offeso,offended,Non volevo offenderti.,I didn't mean to offend you.,adjective,n/a,emotions
onesto,honest,È una persona onesta.,He's an honest person.,adjective,n/a,qualities
affidabile,reliable,È molto affidabile.,She's very reliable.,adjective,n/a,qualities
paziente,patient,Devi essere più paziente.,You need to be more patient.,adjective,n/a,qualities
impaziente,impatient,Sono impaziente di vederti.,I'm impatient to see you.,adjective,n/a,qualities
generoso,generous,È molto generoso con tutti.,He's very generous with everyone.,adjective,n/a,qualities
egoista,selfish,Non essere egoista.,Don't be selfish.,adjective,n/a,qualities
testardo,stubborn,È testardo come un mulo.,He's stubborn as a mule.,adjective,n/a,qualities
timido,shy,È un po' timido all'inizio.,He's a bit shy at first.,adjective,n/a,qualities
estroverso,extroverted,È molto estroverso.,She's very extroverted.,adjective,n/a,qualities
introverso,introverted,Sono piuttosto introverso.,I'm rather introverted.,adjective,n/a,qualities
ambizioso,ambitious,È una persona ambiziosa.,She's an ambitious person.,adjective,n/a,qualities
pigro,lazy,Sono troppo pigro oggi.,I'm too lazy today.,adjective,n/a,qualities
curioso,curious,Sono curioso di sapere.,I'm curious to know.,adjective,n/a,qualities
sensibile,sensitive,È una persona molto sensibile.,He's a very sensitive person.,adjective,n/a,qualities
ragionevole,reasonable,È una richiesta ragionevole.,It's a reasonable request.,adjective,n/a,qualities
irragionevole,unreasonable,È irragionevole aspettarsi questo.,It's unreasonable to expect this.,adjective,n/a,qualities
maturo,mature,È maturo per la sua età.,He's mature for his age.,adjective,n/a,qualities
immaturo,immature,È ancora un po' immaturo.,He's still a bit immature.,adjective,n/a,qualities
ottimista,optimist/optimistic,Sono ottimista per il futuro.,I'm optimistic about the future.,adjective,n/a,qualities
pessimista,pessimist/pessimistic,Non essere così pessimista.,Don't be so pessimistic.,adjective,n/a,qualities
