id,category,name,metaphor,implementation,data_sources,signal,varma_dalio_fit
1,SUBSTITUTE,Water Flow Volume Analysis → Pattern Load Capacity,Replace 'how strong is the signal?' with 'how many traders can surf this before it collapses?',"Track 13F filings, ETF flows, retail order flow. Pattern collapses when institutional adoption exceeds threshold (the rock erodes). Use Perplexity to monitor: 'How many hedge funds are discussing [momentum/value/trend] in latest letters?'","['13F filings via Perplexity', 'ETF creation/redemption data', 'Retail flow proxies (Robinhood trends)', 'Hedge fund letter sentiment']",Pattern capacity = (historical Sharpe) × (1 - crowding_coefficient),Varma: patterns decay as capital crowds them. Dalio: regime shifts when everyone positioned same way.
2,SUBSTITUTE,Static Backtests → Dynamic Pattern Lifespan Tracking,"Replace 'did this work 2010-2020?' with 'when did the rock form, peak, and erode?'","Rolling-window regime analysis. For each pattern (momentum, mean-reversion, breakout), compute: birth_date (when Sharpe >1), peak_date (max Sharpe), decay_date (Sharpe <0.5). Use Perplexity: 'When did [factor] become mainstream academic/practitioner knowledge?'","['Academic publication dates', 'Google Trends for trading terms', 'Factor returns by cohort (pre-publication vs post)']",Pattern age since publication = current_date - first_major_paper_date. Decay accelerates post-publication.,Varma: 'Edges decay'. Dalio: 'Markets adapt to what worked in the past'.
3,SUBSTITUTE,Price-Only Patterns → Multi-Domain Rock Formation,"Replace chart patterns with 'what created the rock?' (policy, macro, structure)","Patterns emerge from *underlying forces*, not just price. Example: 'End-of-quarter window dressing' is a rock created by institutional reporting cycles. Use Perplexity: 'What regulatory/structural forces create predictable market behaviors in [sector/timeframe]?'","['Regulatory calendar (FOMC, NFP, earnings)', 'Institutional constraints (13F deadlines, rebalance dates)', 'Tax calendar (loss harvesting)']",Structural pattern = events with multi-year recurrence + documented behavioral response.,Dalio: 'Understand the machine'. Structural forces persist longer than purely statistical patterns.
4,COMBINE,Regime Classification × Pattern Lifespan,"Rocks (patterns) exist in different parts of the river (regimes). Same rock, different flow = different surf quality.","Test each pattern separately in LOW/MED/HIGH risk regimes. Momentum works above 200DMA but fails below. Use 5-factor regime (vol, correlation, credit, sentiment, trend). Ask Perplexity: 'Which market patterns historically perform in [specific regime combo]?'","['VIX percentile', 'Correlation matrix', 'Credit spreads', 'AAII sentiment', '200DMA classification']",Pattern_regime_fit = sharpe_in_regime / sharpe_overall. >1.5 = regime-specific edge.,Varma: risk-first classification. Dalio: environment determines what works.
5,COMBINE,Early-Warning Risk × Pattern Invalidation,Upstream rocks (future events) that will destroy downstream patterns. See the avalanche coming.,"Your early-warning system detects 'rocks ahead'. If MSI >60 (high macro shock risk), patterns that require LOW vol (mean-reversion, high-frequency arb) will break. Use structural fragility score to predict which patterns collapse. Ask Perplexity: 'What macro events historically invalidated [momentum/value/carry] strategies?'","['Early-warning MSI/SSI from your spec', 'Historical pattern performance during crises', 'Debt-cycle phase']",Pattern_survival_prob = 1 - (MSI/100 × pattern_vol_sensitivity). High MSI + high vol-sensitivity = pattern collapse imminent.,"Dalio: debt cycles determine regime shifts. Varma: cut exposure when regime shifts, don't force trades."
6,COMBINE,Breadth Divergence × Narrative Shift,The river narrows (fewer stocks participating) while headline flow looks strong. Rock is shifting underwater.,"Combine market breadth (% stocks above 200DMA) with news narrative tone. When S&P up but breadth <40%, pattern weakening. Use Perplexity: 'What % of S&P sectors are declining despite index gains?' + news sentiment on 'narrowing rally, concentration risk'.","['Market breadth (% above 200DMA, A/D line)', 'Sector rotation', 'News sentiment via Perplexity']",Divergence_score = |index_return - median_stock_return|. >2 stdev = pattern exhaustion.,Classic regime-shift warning. Varma: react to divergence. Dalio: watch internal contradictions.
7,ADAPT,Seasonal Pattern Tuning by Regime,"Same rock, different season (spring melt vs summer drought). Water flow changes, surfing technique adapts.",January effect works differently in LOW vs HIGH vol regimes. Tax-loss harvesting bounce is stronger after HIGH vol Decembers. Use Perplexity: 'How does [seasonal pattern] perform in different volatility environments historically?',"['Seasonal returns by regime', 'VIX term structure', 'Historical calendar anomalies']","Seasonal_strength = (baseline_effect) × (regime_multiplier). Jan effect = 2% × 0.5 in HIGH vol, 2% × 1.3 in LOW vol.","Varma: regime-adaptive rules. Dalio: same event, different context = different outcome."
8,ADAPT,Dynamic Stop-Loss by Pattern Confidence,"If the rock is stable (high confidence pattern), tight leash. If rock is new/untested, loose leash (might work differently).",Patterns with >10 years of data get 1.5 ATR stops. New patterns (<3 years) get 3 ATR stops (more exploration room). Use pattern_age and pattern_consistency to scale stops. Ask Perplexity: 'When was [trading pattern] first documented? How consistent has performance been?',"['Academic publication history', 'Factor returns consistency (Sharpe by 3-year window)', 'Regime-specific drawdown history']",Stop_distance = base_ATR × (1 + (1 - pattern_confidence)). Low confidence = wider stops.,"Varma: process over outcome. Dalio: principle-based rules, not discretion."
9,ADAPT,Correlation Regime → Pattern Independence Filter,"When all surfers fall at once (high correlation), the river changed. Only surf uncorrelated patterns.","In HIGH correlation regimes (>0.7 avg stock correlation), only trade patterns that historically showed LOW correlation to S&P. Use Perplexity: 'Which trading strategies have low beta to equity markets during crises?'","['Rolling 60-day stock correlation', 'Strategy beta to SPY by regime', 'Cross-asset correlation (stocks-bonds-commodities)']",Pattern_allowed = (pattern_correlation_to_market < 0.5) OR (current_regime == LOW_CORRELATION).,Varma: don't force trades when markets correlated (systemic risk). Dalio: diversification only works when correlations low.
10,MODIFY,Pattern Entry Timing → Kuzushi (Off-Balance) Detection,"Don't surf the rock when everyone's on it. Wait for them to fall off (off-balance moment), then enter.",Momentum patterns work best after a reversion shakeout. Wait for 3-5 day pullback in uptrend before entering long. Use Perplexity: 'What are typical retracement depths before trend continuation in [asset class]?',"['Intraday volatility spikes', 'Short-term sentiment reversals (AAII flips)', 'Volume exhaustion patterns']",Entry_signal = (trend_up) AND (3day_pullback >= 0.5 ATR) AND (volume_spike_down). Off-balance entry.,Wu wei: wait for natural openings. Kuzushi: exploit moments of instability.
