word,translation,phrase,phrase_translation,part_of_speech,gender,tags,tts_model
el centro comercial,the shopping mall,Vamos al centro comercial.,Let's go to the mall.,noun,m,places,
el mercado,the market,Compro fruta en el mercado.,I buy fruit at the market.,noun,m,places,
la caja,the checkout/register,Paga en la caja.,Pay at the register.,noun,f,shopping,
el precio,the price,¿Cuál es el precio?,What's the price?,noun,m,shopping,
el descuento,the discount,Descuento del veinte por ciento.,Twenty percent discount.,noun,m,shopping,
las rebajas,the sales,Las rebajas empiezan mañana.,The sales start tomorrow.,noun,f,shopping,
la talla,the size (clothes),¿Qué talla usas?,What size do you wear?,noun,f,shopping,
el número,the size (shoes),Mi número es cuarenta y dos.,My shoe size is forty-two.,noun,m,shopping,
el probador,the fitting room,El probador está ocupado.,The fitting room is occupied.,noun,m,shopping,
el recibo,the receipt,Necesito el recibo.,I need the receipt.,noun,m,shopping,
la tarjeta,the card,Pago con tarjeta.,I pay with card.,noun,f,shopping,
el efectivo,cash,Pago en efectivo.,I pay in cash.,noun,m,shopping,
la camisa,the shirt,La camisa es azul.,The shirt is blue.,noun,f,clothes,
la camiseta,the t-shirt,Me gusta esta camiseta.,I like this t-shirt.,noun,f,clothes,
la blusa,the blouse,La blusa es de seda.,The blouse is silk.,noun,f,clothes,
el pantalón,the pants,El pantalón me queda bien.,The pants fit me well.,noun,m,clothes,
los jeans,the jeans,Prefiero los jeans azules.,I prefer the blue jeans.,noun,m,clothes,
la falda,the skirt,La falda es muy corta.,The skirt is very short.,noun,f,clothes,
el vestido,the dress,El vestido es elegante.,The dress is elegant.,noun,m,clothes,
el traje,the suit,Necesito un traje nuevo.,I need a new suit.,noun,m,clothes,
la chaqueta,the jacket,La chaqueta es de cuero.,The jacket is leather.,noun,f,clothes,
el abrigo,the coat,Hace frío. Ponte el abrigo.,It's cold. Put on your coat.,noun,m,clothes,
el suéter,the sweater,El suéter es de lana.,The sweater is wool.,noun,m,clothes,
los zapatos,the shoes,Los zapatos son negros.,The shoes are black.,noun,m,clothes,
las botas,the boots,Las botas son de cuero.,The boots are leather.,noun,f,clothes,
las sandalias,the sandals,Uso sandalias en verano.,I wear sandals in summer.,noun,f,clothes,
los calcetines,the socks,Necesito calcetines nuevos.,I need new socks.,noun,m,clothes,
la ropa interior,underwear,La ropa interior es cómoda.,The underwear is comfortable.,noun,f,clothes,
el cinturón,the belt,El cinturón es de cuero.,The belt is leather.,noun,m,accessories,
la corbata,the tie,La corbata es roja.,The tie is red.,noun,f,accessories,
el sombrero,the hat,El sombrero es de mi abuelo.,The hat is my grandfather's.,noun,m,accessories,
las gafas,the glasses,Necesito mis gafas.,I need my glasses.,noun,f,accessories,
el bolso,the purse/bag,El bolso es muy grande.,The bag is very big.,noun,m,accessories,
comprar,to buy,Quiero comprar una camisa.,I want to buy a shirt.,verb,n/a,verbs,
vender,to sell,Venden ropa muy barata.,They sell very cheap clothes.,verb,n/a,verbs,
pagar,to pay,¿Dónde puedo pagar?,Where can I pay?,verb,n/a,verbs,
costar,to cost,¿Cuánto cuesta este vestido?,How much does this dress cost?,verb,n/a,verbs,
probarse,to try on,¿Puedo probarme esto?,Can I try this on?,verb,n/a,verbs,
quedar,to fit,Este pantalón me queda grande.,These pants are too big on me.,verb,n/a,verbs,
llevar,to wear,Llevo una camisa blanca.,I'm wearing a white shirt.,verb,n/a,verbs,
ponerse,to put on,Me pongo el abrigo.,I put on my coat.,verb,n/a,verbs,
quitarse,to take off,Me quito los zapatos.,I take off my shoes.,verb,n/a,verbs,
de algodón,cotton (made of),La camiseta es de algodón.,The t-shirt is cotton.,phrase,n/a,materials,
de lana,wool (made of),El suéter es de lana.,The sweater is wool.,phrase,n/a,materials,
de cuero,leather (made of),Los zapatos son de cuero.,The shoes are leather.,phrase,n/a,materials,
barato,cheap,Este vestido es muy barato.,This dress is very cheap.,adjective,n/a,adjectives,
caro,expensive,Los zapatos son muy caros.,The shoes are very expensive.,adjective,n/a,adjectives,
