italian,english,example_sentence
ciao,hello,Ciao! Come stai?
grazie,thank you,Grazie mille per l'aiuto.
prego,you're welcome,Prego! Non c'è di che.
buongiorno,good morning,Buongiorno! Hai dormito bene?
buonasera,good evening,Buonasera! Come è andata la giornata?
arrivederci,goodbye,Arrivederci! A domani.
per favore,please,Per favore, puoi aiutarmi?
scusa,excuse me/sorry,Scusa! Non volevo disturbarti.
sì,yes,Sì, sono d'accordo con te.
no,no,No, non posso venire stasera.
bene,good/well,Sto bene, grazie!
male,bad,Mi sento male oggi.
casa,house,La mia casa è molto grande.
acqua,water,Vorrei un bicchiere d'acqua.
cibo,food,Questo cibo è delizioso!
