Rank,Strategy,Core_Thesis,Why_It_Works,Empirical_Sharpe,Implementation_Difficulty,Allocation_Recommendation,MoSCoW
1,1. Time-Series Momentum / Trend-Following (CTA),Persistent trends in crises; negative equity beta; volatility timing,Crisis creates trends; algo flips short; Kathryn Kaminski: 800 years of crisis alpha,"1.2-1.8 (crisis), 0.9-1.3 (full cycle)",Medium: ETF (DBMF) or futures; vol-scaling required,20-30% (CORE position; crisis alpha),MUST HAVE
2,2. Merger Arbitrage (Deal Spreads),Deal-specific risk uncorrelated to systematic factors,Low correlation (0.5); spreads widen in crisis = higher returns if deals close,1.0-1.5 (validated across cycles),Medium: Deal screening + spread analysis; some legal knowledge,10-15% (uncorrelated alpha),SHOULD HAVE
3,3. Multi-Factor Long-Short (Quality + Value + Low Vol),Factor rotation + diversification reduces single-factor crash risk,"When momentum crashes, value works; when value crashes, quality works; diversification","1.2-1.8 (crisis), 1.0-1.4 (full cycle)",High: Multi-factor construction + rebalancing; factor timing logic,15-20% (CORE if sophisticated),SHOULD HAVE
4,4. Capital Structure Arbitrage (Equity vs Credit),Structural mispricing when equity vol ≠ credit spread implied vol,Market segmentation: equity traders ≠ credit traders; lag in information transmission,1.5-2.0 (when dislocations occur),Very High: Options + CDS; Merton model; delta hedging,5-10% (tactical; requires infrastructure),COULD HAVE
5,5. Quality Factor Long-Bias with Regime Filter,High ROE + Low leverage outperforms in deleveraging WITH regime gates,Quality +21 bps/month in recessions; but must avoid late-cycle euphoria via regime,0.8-1.2 (regime-adjusted),Low-Medium: Stock screening; regime classifier (5-factor model),15-20% (foundational long equity exposure),MUST HAVE
6,6. Gold Tactical (Macro Shock Responsive),"Gold works for MACRO shocks (fiscal, monetary) not all crises",Works when fiscal/monetary credibility questioned; not for corporate credit crises,0.8-1.4 (macro crises only),Low: GLD/PHYS ETFs; macro regime triggers,5-10% (tactical hedge; macro trigger-based),SHOULD HAVE
7,7. Long Volatility / Tail Risk Hedging (VIX Calls),Convex payoff in vol spikes; fund via contango decay,VIX 12→40+ in crashes; 3-5x payoff; rebalance gains into risk assets at bottom,0.5-1.5 (including drag + rebal alpha),Medium: VIX options; roll management; contango decay offsetting,5% notional (hedge overlay; always on),MUST HAVE
8,8. Short High-Beta / Long Low-Vol Pair,Low-vol stocks have lower drawdowns + quality characteristics,Low-vol = quality proxy; high-beta = leverage/speculation proxy; spread widens in crisis,1.0-1.4 (validated),"Medium: Stock screening (beta, vol); pair construction",10-15% (equity substitute),SHOULD HAVE
9,9. Convertible Bond Arbitrage,Hybrid security mispricing during rate/credit/equity vol regime shifts,Bond+option mispricing; arbs profit from basis convergence as hedges adjust,1.4-2.0 (rate/credit vol environments),Very High: Convertible valuation models; multi-asset hedging,5-10% (tactical; environment-dependent),COULD HAVE
10,10. Dividend Aristocrats as Cash Alternative,Lower vol than SPY; use as bond substitute not equity replacement,Outperforms in bear markets but absolute returns modest; -22% vs -37% still hurts,0.7-1.1 (validated but modest),Low: NOBL ETF or custom screen; very passive,5-10% (cash substitute),COULD HAVE
11,11. Event-Driven Special Situations,"Spin-offs, recaps have forced selling + analyst neglect inefficiency",Index forced selling creates 5-15% discount; recovers in 6-12 months,1.1-1.7 (deal flow dependent),Medium: Deal flow monitoring; SOTP valuation,5-10% (opportunistic),COULD HAVE
12,12. Distressed Debt (Stage 4 Trigger-Based ONLY),Post-default supply creates opportunity but ONLY after crisis starts,Distressed bonds at 40-60¢ recover to 80-90¢; but supply only emerges in Stage 4,1.5-2.2 (post-Stage 4 only),High: Bankruptcy analysis; fulcrum security identification,0% NOW → 15-20% when Stage 4 confirmed,DEFER (WON'T HAVE NOW)
