word,translation,phrase,phrase_translation,part_of_speech,gender,tags,tts_model
nuovo,new,Ho un telefono nuovo.,I have a new phone.,adjective,m,age,
vecchio,old,Un vecchio libro interessante.,An old interesting book.,adjective,m,age,
antico,ancient/antique,Un palazzo antico e bello.,An ancient and beautiful building.,adjective,m,age,
moderno,modern,Un appartamento molto moderno.,A very modern apartment.,adjective,m,age,
dolce,sweet,Questa torta è dolce.,This cake is sweet.,adjective,mf,taste,
amaro,bitter,Il caffè è amaro.,The coffee is bitter.,adjective,m,taste,
salato,salty/savory,La zuppa è troppo salata.,The soup is too salty.,adjective,m,taste,
piccante,spicy,Il peperoncino è piccante.,The chili pepper is spicy.,adjective,mf,taste,
morbido,soft,Il cuscino è morbido.,The pillow is soft.,adjective,m,texture,
duro,hard,Questo pane è duro.,This bread is hard.,adjective,m,texture,
liscio,smooth,La superficie è liscia.,The surface is smooth.,adjective,m,texture,
ruvido,rough,Il tessuto è ruvido.,The fabric is rough.,adjective,m,texture,
secco,dry,Il clima è secco.,The climate is dry.,adjective,m,moisture,
bagnato,wet,Il pavimento è bagnato.,The floor is wet.,adjective,m,moisture,
umido,humid/damp,L'aria è molto umida.,The air is very humid.,adjective,m,moisture,
facile,easy,L'esame è molto facile.,The exam is very easy.,adjective,mf,complexity,
difficile,difficult,È un problema difficile.,It's a difficult problem.,adjective,mf,complexity,
semplice,simple,Una ricetta molto semplice.,A very simple recipe.,adjective,mf,complexity,
complicato,complicated,La situazione è complicata.,The situation is complicated.,adjective,m,complexity,
leggero,light (weight),Una borsa molto leggera.,A very light bag.,adjective,m,weight,
pesante,heavy,La valigia è pesante.,The suitcase is heavy.,adjective,mf,weight,
grasso,fat,Il gatto è grasso.,The cat is fat.,adjective,m,body,
magro,thin/skinny,Un ragazzo molto magro.,A very thin boy.,adjective,m,body,
pieno,full,Il bicchiere è pieno.,The glass is full.,adjective,m,fullness,
vuoto,empty,La stanza è vuota.,The room is empty.,adjective,m,fullness,
giusto,right/correct,La risposta è giusta.,The answer is correct.,adjective,m,correctness,
sbagliato,wrong/incorrect,Il numero è sbagliato.,The number is wrong.,adjective,m,correctness,
vero,true/real,È una storia vera.,It's a true story.,adjective,m,correctness,
falso,false/fake,Un documento falso.,A fake document.,adjective,m,correctness,
sicuro,safe/sure,Questo posto è sicuro.,This place is safe.,adjective,m,safety,
pericoloso,dangerous,La strada è pericolosa.,The road is dangerous.,adjective,m,safety,
ricco,rich,Una città molto ricca.,A very rich city.,adjective,m,wealth,
povero,poor,Un quartiere molto povero.,A very poor neighborhood.,adjective,m,wealth,
rosso,red,La macchina è rossa.,The car is red.,adjective,m,colors,
giallo,yellow,Un fiore giallo e grande.,A big yellow flower.,adjective,m,colors,
verde,green,L'erba è verde.,The grass is green.,adjective,mf,colors,
blu,blue,Il cielo è blu.,The sky is blue.,adjective,mf,colors,
nero,black,Un gatto nero.,A black cat.,adjective,m,colors,
bianco,white,La neve è bianca.,The snow is white.,adjective,m,colors,
arancione,orange (color),Un tramonto arancione bellissimo.,A beautiful orange sunset.,adjective,mf,colors,
grigio,gray,Il cielo è grigio.,The sky is gray.,adjective,m,colors,
utile,useful,Un consiglio molto utile.,Very useful advice.,adjective,mf,usefulness,
inutile,useless,Un tentativo completamente inutile.,A completely useless attempt.,adjective,mf,usefulness,
possibile,possible,È ancora possibile cambiare.,It's still possible to change.,adjective,mf,usefulness,
impossibile,impossible,Niente è impossibile.,Nothing is impossible.,adjective,mf,usefulness,
