id,category,name,description,horizon,logic
1,SUBSTITUTE,Debt-Cycle Phase Detection → Equity Exposure Sizing,"Replace traditional valuation metrics (P/E, CAPE) with Dalio's debt-cycle phase classifier (early/mid/late/deleveraging). Size equity exposure inversely to late-cycle proximity. Multi-year hold as cycle phases last 5-10+ years.",5-10 years,"Late debt cycles precede large equity drawdowns by 1-3 years. React by cutting exposure when debt/GDP, interest coverage, and credit impulse all signal late stage."
2,SUBSTITUTE,Cross-Asset Risk Parity Rotation via Wu Wei Gates,"Replace All Weather static weights with wu-wei-gated dynamic rebalancing: only rebalance when regime shifts are confirmed by 3+ cross-asset signals (equities, bonds, commodities, credit, VIX). Otherwise do nothing.",Multi-year,"Varma's non-forcing + Dalio's environment-based allocation. Reduces whipsaw, captures persistent regime shifts lasting 18+ months."
3,COMBINE,200DMA Risk Asymmetry × Debt Burden Composite,"Combine Varma's 200DMA regime (above/below) with Dalio's debt burden indicator (debt service ratio, household leverage). 4-state matrix: low debt + above MA = max size; high debt + below MA = flat/short.",2-5 years,Risk asymmetry is amplified when debt burdens high. Multi-year edge as debt cycles unfold slowly.
4,COMBINE,Sentiment Exhaustion × Long-Cycle Anomaly Momentum,"Layer sentiment extremes (AAII, put/call, news tone) onto long-horizon anomalies (value, quality, profitability). Only enter long-horizon anomaly trades when sentiment is NOT at euphoria extremes.",3-5 years,Long-horizon anomalies persist but suffer during sentiment bubbles. Filtering entry timing extends edge lifespan.
5,COMBINE,Institutional Liquidity Preference × Multi-Year Holding Arb,"Institutions avoid illiquid, long-horizon value stocks. Build portfolio of illiquid value + quality names, hold 3+ years. Capture liquidity premium + fundamental mean reversion institutions can't access.",3-5 years,Research shows institutions trade wrong direction on long-horizon anomalies due to liquidity constraints. Exploit this structural behavior.
6,ADAPT,Control Theory PID for Portfolio Heat,"Adapt PID controller from engineering: P = current DD vs target, I = cumulative regime stress days, D = rate of vol increase. Output = leverage scalar (0-2x). Recompute weekly.","Continuous, multi-year","Varma's reactive ethos + control theory. Smooths risk adjustments, avoids binary on/off whipsaw."
7,ADAPT,Kuzushi (Off-Balance) Detection in Crowded Themes,"Adapt martial arts kuzushi principle: identify when a crowded theme (AI, crypto, whatever) shows first signs of instability (declining breadth, rising intra-sector correlation, parabolic extensions). Enter short only when 'off-balance' confirmed, hold 12-18 months.",1-2 years,"Themes take years to build, months to crack. Catching the kuzushi moment (crowd tipping point) yields multi-R shorts."
8,MODIFY,CDAP-Weighted Strategy Allocation,"Instead of equal $ to strategies, allocate based on each strategy's CDAP score (return / regime-weighted-DD). Recompute annually. Starve strategies with bad CDAP (high DD in benign regimes).","Annual reallocation, multi-year","Varma's CDAP directly applied to multi-strategy books. Rewards context-aware performance, punishes sloppy execution in safe regimes."
9,MODIFY,Fractional Kelly by Debt-Cycle × Valuation Regime,Modify Kelly fraction based on 2D regime: [early/mid/late debt cycle] × [cheap/fair/rich valuation]. Early + cheap = 0.7 Kelly; late + rich = 0.2 Kelly.,Multi-year,Varma uses fractional Kelly; Dalio tracks debt cycles. Combining both modulates risk-taking across macro environments lasting years.
10,PUT TO ANOTHER USE,Overnight Anomaly as Macro Risk Barometer,"Instead of trading overnight premium directly, use the *magnitude* of overnight vs intraday returns as a real-time stress indicator. When overnight premium spikes >2 std dev, it signals elevated gap/news risk → reduce equity exposure for 3-6 months.",3-6 month reactions,"Varma noted overnight anomaly exists but hard to exploit. Repurpose it as a regime signal, not a trade."
