word,translation,phrase,phrase_translation,part_of_speech,gender,tags,tts_model
coraggioso,courageous/brave,Un gesto molto coraggioso.,A very courageous gesture.,adjective,m,bravery,
vigliacco,cowardly,Un comportamento vigliacco.,Cowardly behavior.,adjective,m,bravery,
furbo,clever/shrewd,Una mossa molto furba.,A very shrewd move.,adjective,m,cleverness,
ingenuo,naive,Una domanda ingenua.,A naive question.,adjective,m,cleverness,
saggio,wise,Un consiglio molto saggio.,Very wise advice.,adjective,m,cleverness,
sciocco,foolish/silly,Un errore sciocco.,A foolish mistake.,adjective,m,cleverness,
umile,humble,Una persona molto umile.,A very humble person.,adjective,mf,pride,
arrogante,arrogant,Un tono arrogante.,An arrogant tone.,adjective,mf,pride,
chiaro,clear,Una spiegazione molto chiara.,A very clear explanation.,adjective,m,clarity,
oscuro,dark/obscure,Un passato oscuro.,A dark past.,adjective,m,clarity,
evidente,evident/obvious,Una scelta troppo evidente.,A too obvious choice.,adjective,mf,clarity,
sottile,subtle/thin,Una differenza molto sottile.,A very subtle difference.,adjective,mf,clarity,
raro,rare,Un evento molto raro.,A very rare event.,adjective,m,frequency,
comune,common,Un errore molto comune.,A very common mistake.,adjective,mf,frequency,
insolito,unusual,Un comportamento insolito.,Unusual behavior.,adjective,m,frequency,
regolare,regular,Una riunione regolare settimanale.,A regular weekly meeting.,adjective,mf,frequency,
profondo,deep/profound,Un'analisi molto profonda.,A very profound analysis.,adjective,m,depth,
superficiale,superficial/shallow,Un giudizio superficiale.,A superficial judgment.,adjective,mf,depth,
ampio,broad/extensive,Una conoscenza molto ampia.,Very extensive knowledge.,adjective,m,depth,
limitato,limited,Una visione troppo limitata.,A too limited view.,adjective,m,depth,
gradevole,pleasant,Un profumo molto gradevole.,A very pleasant scent.,adjective,mf,pleasantness,
sgradevole,unpleasant,Un odore sgradevole.,An unpleasant smell.,adjective,mf,pleasantness,
preciso,precise/accurate,Un orologio molto preciso.,A very precise watch.,adjective,m,precision,
vago,vague,Una risposta troppo vaga.,A too vague answer.,adjective,m,precision,
principale,main/primary,La strada principale del paese.,The main road of town.,adjective,mf,importance,
secondario,secondary,Un ruolo secondario nel film.,A supporting role in the film.,adjective,m,importance,
notevole,remarkable/notable,Un risultato davvero notevole.,A truly remarkable result.,adjective,mf,importance,
trascurabile,negligible,Una differenza trascurabile.,A negligible difference.,adjective,mf,importance,
straordinario,extraordinary,Un'occasione davvero straordinaria.,A truly extraordinary occasion.,adjective,m,quality,
ordinario,ordinary,Una giornata del tutto ordinaria.,A completely ordinary day.,adjective,m,quality,
eccezionale,exceptional,Una prestazione eccezionale.,An exceptional performance.,adjective,mf,quality,
mediocre,mediocre,Un risultato piuttosto mediocre.,A rather mediocre result.,adjective,mf,quality,
fedele,loyal/faithful,Un amico sempre fedele.,An always loyal friend.,adjective,mf,character,
socievole,sociable,Una persona molto socievole.,A very sociable person.,adjective,mf,character,
responsabile,responsible,Un cittadino responsabile.,A responsible citizen.,adjective,mf,character,
autonomo,independent/autonomous,Un lavoratore molto autonomo.,A very independent worker.,adjective,m,character,
inevitabile,inevitable,Un cambiamento inevitabile.,An inevitable change.,adjective,mf,character,
nazionale,national,Una festa nazionale italiana.,An Italian national holiday.,adjective,mf,formal,
internazionale,international,Una conferenza internazionale a Roma.,An international conference in Rome.,adjective,mf,formal,
culturale,cultural,Un evento culturale importante.,An important cultural event.,adjective,mf,formal,
politico,political,Una decisione politica controversa.,A controversial political decision.,adjective,m,formal,
generale,general,Un'impressione generale positiva.,A positive general impression.,adjective,mf,formal,
particolare,particular/specific,Un caso molto particolare.,A very particular case.,adjective,mf,formal,
efficace,effective,Una strategia molto efficace.,A very effective strategy.,adjective,mf,formal,
indispensabile,indispensable,Un requisito indispensabile.,An indispensable requirement.,adjective,mf,formal,
