word,translation,phrase,phrase_translation,part_of_speech,gender,tags
el restaurante,the restaurant,El restaurante está lleno.,The restaurant is full.,noun,m,places
el café,the coffee/café,Un café con leche por favor.,A coffee with milk please.,noun,m,drinks
el bar,the bar,Vamos al bar.,Let's go to the bar.,noun,m,places
la mesa,the table,Una mesa para dos.,A table for two.,noun,f,restaurant
el menú,the menu,¿Me trae el menú?,Can you bring me the menu?,noun,m,restaurant
la carta,the menu,La carta por favor.,The menu please.,noun,f,restaurant
el camarero,the waiter,El camarero es muy amable.,The waiter is very kind.,noun,m,people
la camarera,the waitress,La camarera toma el pedido.,The waitress takes the order.,noun,f,people
la cuenta,the bill,La cuenta por favor.,The bill please.,noun,f,restaurant
la propina,the tip,Dejo buena propina.,I leave a good tip.,noun,f,restaurant
pedir,to order,Quiero pedir una pizza.,I want to order a pizza.,verb,n/a,verbs
el desayuno,breakfast,El desayuno está incluido.,Breakfast is included.,noun,m,meals
el almuerzo,lunch,El almuerzo es a las doce.,Lunch is at twelve.,noun,m,meals
la cena,dinner,La cena está lista.,Dinner is ready.,noun,f,meals
el agua,the water,Un vaso de agua por favor.,A glass of water please.,noun,f,drinks
el vino,the wine,Una copa de vino tinto.,A glass of red wine.,noun,m,drinks
la cerveza,the beer,Dos cervezas frías.,Two cold beers.,noun,f,drinks
el jugo,the juice,Un jugo de naranja.,An orange juice.,noun,m,drinks
el té,the tea,Un té caliente.,A hot tea.,noun,m,drinks
la leche,the milk,Café con leche.,Coffee with milk.,noun,f,drinks
el pan,the bread,El pan está fresco.,The bread is fresh.,noun,m,food
la sopa,the soup,La sopa está caliente.,The soup is hot.,noun,f,food
la ensalada,the salad,Una ensalada mixta.,A mixed salad.,noun,f,food
el arroz,the rice,Arroz con pollo.,Rice with chicken.,noun,m,food
la pasta,the pasta,Me encanta la pasta.,I love pasta.,noun,f,food
la pizza,the pizza,Una pizza grande.,A large pizza.,noun,f,food
el pollo,the chicken,Pollo a la parrilla.,Grilled chicken.,noun,m,food
la carne,the meat,La carne está deliciosa.,The meat is delicious.,noun,f,food
el pescado,the fish,Pescado con verduras.,Fish with vegetables.,noun,m,food
el huevo,the egg,Huevos revueltos.,Scrambled eggs.,noun,m,food
las verduras,the vegetables,Me gustan las verduras.,I like vegetables.,noun,f,food
la fruta,the fruit,Fruta fresca de postre.,Fresh fruit for dessert.,noun,f,food
la manzana,the apple,Una manzana roja.,A red apple.,noun,f,food
el plátano,the banana,El plátano está maduro.,The banana is ripe.,noun,m,food
la naranja,the orange,Jugo de naranja natural.,Natural orange juice.,noun,f,food
el postre,the dessert,¿Qué hay de postre?,What's for dessert?,noun,m,food
el helado,the ice cream,Un helado de chocolate.,A chocolate ice cream.,noun,m,food
caliente,hot,El café está caliente.,The coffee is hot.,adjective,n/a,adjectives
frío,cold,El agua está fría.,The water is cold.,adjective,n/a,adjectives
delicioso,delicious,La comida está deliciosa.,The food is delicious.,adjective,n/a,adjectives
rico,tasty/delicious,¡Qué rico está!,How tasty it is!,adjective,n/a,adjectives
¡buen provecho!,enjoy your meal!,¡Buen provecho a todos!,Enjoy your meal everyone!,phrase,n/a,phrases
¡salud!,cheers!,¡Salud! Por nosotros.,Cheers! To us.,interjection,n/a,phrases
tengo hambre,I'm hungry,Tengo mucha hambre.,I'm very hungry.,phrase,n/a,phrases
tengo sed,I'm thirsty,Tengo sed. Quiero agua.,I'm thirsty. I want water.,phrase,n/a,phrases
quisiera,I would like,Quisiera una ensalada.,I would like a salad.,verb,n/a,formal
quiero,I want,Quiero un café.,I want a coffee.,verb,n/a,verbs
para mí,for me,Para mí la sopa.,The soup for me.,phrase,n/a,phrases
sin,without,Café sin azúcar.,Coffee without sugar.,preposition,n/a,prepositions
con,with,Pizza con jamón.,Pizza with ham.,preposition,n/a,prepositions
